Time,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,,,,,,,,,,,,,,,,,,,,,,,,
0,0.098725,0.1068,0.10952,0.11612,0.12931,0.10944,0.11148,0.11367,0.11157,0.1223,0.11244,0.11097,0.09686,0.11912,0.11165,0.11237,0.11418,0.11266,0.11077,0.10746,0.11229,0.1159,0.11545,0.11399,0.098725,0.10863,0.11429,0.10888,0.11215,0.11145,0.10567,0.11598,0.11196,0.11539,0.11337,0.11136,0.094162,0.1159,0.1115,0.11044,0.11125,0.11205,0.11009,0.11149,0.10886,0.11298,0.11429,0.11154,0.094345,0.10127,0.10042,0.10278,0.10309,0.10622,0.12083,0.11561,0.11556,0.10755,0.11388,0.10751,0.097308,0.10452,0.10389,0.10732,0.11024,0.099881,0.11444,0.11419,0.11017,0.1138,0.11043,0.11473,0.096683,0.11125,0.10352,0.10697,0.10589,0.096331,0.11132,0.11326,0.11592,0.11444,0.11057,0.10941,0.090004,0.099471,0.10202,0.10437,0.10434,0.092524,0.1089,0.11256,0.11779,0.11318,0.1064,0.11548
20,0.096774,0.10467,0.10606,0.11314,0.10924,0.10801,0.10982,0.11179,0.1095,0.11887,0.11094,0.10927,0.097376,0.11561,0.11209,0.1114,0.11393,0.11073,0.10924,0.10644,0.11043,0.11381,0.11352,0.11181,0.096774,0.10841,0.1133,0.1098,0.11276,0.11015,0.10491,0.11373,0.11048,0.11376,0.11213,0.11016,0.094533,0.11204,0.11049,0.10933,0.11173,0.11076,0.10987,0.11056,0.10863,0.11166,0.11196,0.11033,0.093904,0.10264,0.10119,0.10272,0.10399,0.10309,0.11814,0.11393,0.11419,0.10629,0.11262,0.10644,0.09528,0.10569,0.10413,0.1063,0.10619,0.098303,0.11319,0.11274,0.10838,0.11218,0.10851,0.11264,0.097529,0.11036,0.10427,0.10627,0.10701,0.095822,0.10955,0.11148,0.11376,0.1124,0.10893,0.10805,0.089359,0.10039,0.10401,0.10476,0.10529,0.091204,0.10772,0.11109,0.11535,0.11059,0.10583,0.11385
40,0.096956,0.10424,0.10454,0.1105,0.10712,0.1078,0.10965,0.11144,0.10921,0.11844,0.11077,0.10903,0.095814,0.11344,0.10937,0.10735,0.1106,0.11036,0.10897,0.1062,0.11025,0.11178,0.11331,0.11158,0.096956,0.10737,0.11007,0.1068,0.11091,0.10992,0.10473,0.11351,0.11024,0.11351,0.11188,0.11002,0.095291,0.11062,0.10917,0.10597,0.10887,0.11046,0.10966,0.11036,0.10844,0.11142,0.1117,0.11005,0.095056,0.10547,0.10301,0.10506,0.10622,0.10196,0.11777,0.11362,0.11388,0.10624,0.11249,0.10647,0.094625,0.10792,0.10577,0.10834,0.10768,0.098005,0.11289,0.11247,0.10821,0.1115,0.1083,0.11238,0.095192,0.11326,0.10647,0.10913,0.10832,0.095243,0.10942,0.11119,0.11349,0.11216,0.1086,0.1079,0.088934,0.10353,0.10618,0.10727,0.10739,0.090821,0.10753,0.11085,0.11512,0.11038,0.10569,0.11371
60,0.096137,0.10425,0.1053,0.10952,0.1068,0.10771,0.10946,0.11138,0.10914,0.11815,0.11069,0.109,0.098029,0.11268,0.10917,0.10604,0.10908,0.11034,0.10895,0.10615,0.11009,0.11171,0.11322,0.11148,0.096137,0.10664,0.10948,0.1057,0.1102,0.10975,0.10469,0.11339,0.1102,0.11344,0.11178,0.10994,0.094327,0.1103,0.10799,0.10511,0.10819,0.11037,0.10961,0.11029,0.10845,0.11125,0.11167,0.1099,0.094785,0.11142,0.10731,0.109,0.1096,0.10127,0.11763,0.11354,0.11382,0.10625,0.1123,0.10656,0.09504,0.11294,0.11066,0.11255,0.11127,0.097323,0.11276,0.11237,0.10825,0.11138,0.10827,0.11224,0.094481,0.1178,0.11116,0.11346,0.11118,0.09489,0.10941,0.11106,0.11337,0.11203,0.10854,0.10786,0.088859,0.10942,0.11111,0.11143,0.11111,0.090729,0.10743,0.1108,0.11495,0.11025,0.10558,0.1136
80,0.09595,0.10441,0.10483,0.11017,0.10648,0.10773,0.10951,0.11122,0.10897,0.11744,0.11058,0.10894,0.095079,0.11208,0.10797,0.10553,0.10873,0.11012,0.10876,0.10601,0.11005,0.11156,0.11306,0.11132,0.09595,0.10712,0.10932,0.10562,0.11041,0.10968,0.10462,0.11319,0.1101,0.11339,0.11167,0.10988,0.094137,0.11054,0.10649,0.10503,0.10751,0.11018,0.1094,0.11016,0.10824,0.11127,0.11157,0.10986,0.095253,0.1174,0.11196,0.11331,0.11398,0.10059,0.11749,0.11341,0.1137,0.10614,0.11227,0.10653,0.094735,0.12066,0.11605,0.11727,0.11563,0.097114,0.11263,0.11221,0.10808,0.11131,0.10816,0.11214,0.10128,0.12631,0.11725,0.1183,0.11556,0.094393,0.10934,0.111,0.11328,0.11222,0.10849,0.10785,0.088627,0.11679,0.11729,0.11774,0.11573,0.09142,0.10743,0.11077,0.11487,0.11016,0.10561,0.1135
100,0.095782,0.1049,0.10433,0.10957,0.10644,0.10766,0.10943,0.11121,0.10902,0.1169,0.11055,0.10893,0.09716,0.11109,0.10822,0.10557,0.10844,0.11022,0.1088,0.10604,0.11002,0.11152,0.11306,0.11133,0.095782,0.10709,0.10884,0.1052,0.10975,0.10966,0.10468,0.11331,0.1101,0.1134,0.11169,0.10982,0.093943,0.11069,0.10633,0.10516,0.10741,0.11019,0.10943,0.11015,0.10831,0.11127,0.11155,0.10985,0.094997,0.12521,0.11813,0.11985,0.12015,0.10031,0.11746,0.11338,0.11368,0.10613,0.11217,0.10651,0.09471,0.12778,0.12323,0.12418,0.12142,0.096903,0.11257,0.11225,0.10821,0.11131,0.10819,0.1121,0.094372,0.13332,0.12526,0.12535,0.12111,0.094476,0.10934,0.11095,0.11327,0.11239,0.10848,0.10789,0.088533,0.12561,0.1246,0.12414,0.12177,0.091453,0.10738,0.11067,0.11491,0.11019,0.1056,0.11391
120,0.095606,0.10507,0.10479,0.10966,0.10614,0.10762,0.10947,0.11113,0.10895,0.11676,0.1105,0.10895,0.096193,0.10788,0.10788,0.10649,0.10837,0.1101,0.10877,0.10601,0.10997,0.11148,0.11298,0.11132,0.095606,0.10737,0.10944,0.10535,0.1098,0.10964,0.10467,0.11319,0.11011,0.11335,0.11158,0.10978,0.09471,0.11135,0.10625,0.10506,0.10734,0.11013,0.10939,0.11015,0.1083,0.11117,0.11156,0.10974,0.09465,0.13679,0.1265,0.12946,0.12678,0.099883,0.11748,0.11339,0.11356,0.10612,0.11212,0.10651,0.094461,0.13779,0.13216,0.13335,0.12929,0.096725,0.11251,0.11222,0.10808,0.11123,0.10814,0.1121,0.094353,0.14131,0.13457,0.13463,0.12909,0.094181,0.10927,0.1109,0.11324,0.1124,0.10846,0.10787,0.088534,0.13863,0.13513,0.13367,0.12966,0.091318,0.10739,0.11064,0.11478,0.11013,0.10556,0.11383
140,0.094882,0.10579,0.10528,0.11003,0.10634,0.10759,0.10945,0.1111,0.10891,0.11665,0.11047,0.1089,0.097093,0.10807,0.10805,0.10695,0.10874,0.11008,0.10865,0.10599,0.10988,0.11139,0.11298,0.11123,0.094882,0.10774,0.11023,0.10609,0.11021,0.10961,0.10464,0.11315,0.11005,0.11323,0.11157,0.10976,0.096019,0.11218,0.10661,0.10558,0.10748,0.11007,0.10936,0.11011,0.10822,0.11118,0.11156,0.1097,0.095464,0.15103,0.13681,0.14042,0.13602,0.099569,0.11735,0.11331,0.11351,0.10613,0.11201,0.10649,0.094405,0.15023,0.14275,0.14488,0.13909,0.096667,0.1125,0.11213,0.10802,0.11117,0.10808,0.11202,0.095231,0.15427,0.1454,0.14738,0.13816,0.094157,0.1092,0.11087,0.11321,0.11234,0.10843,0.10778,0.088449,0.15319,0.14574,0.14632,0.13984,0.091433,0.10734,0.1106,0.11468,0.11006,0.1055,0.11377
160,0.095225,0.10643,0.1055,0.1101,0.10671,0.10757,0.10937,0.111,0.10881,0.1166,0.11041,0.10887,0.096955,0.10901,0.10861,0.10698,0.10898,0.11008,0.10864,0.10594,0.10983,0.1113,0.11293,0.11123,0.095225,0.10842,0.10901,0.10583,0.10879,0.10952,0.1046,0.11305,0.11,0.11325,0.1115,0.10967,0.09464,0.11303,0.1071,0.10574,0.1079,0.10999,0.10931,0.11009,0.10817,0.11111,0.11159,0.10967,0.095498,0.1715,0.14933,0.15496,0.14543,0.099124,0.11733,0.1133,0.11348,0.10607,0.11202,0.10646,0.094139,0.16635,0.15527,0.15971,0.14803,0.096548,0.11243,0.112,0.10793,0.11117,0.10797,0.11193,0.093147,0.16903,0.16431,0.16335,0.14835,0.093934,0.10916,0.11079,0.11311,0.11227,0.10831,0.1078,0.088484,0.17676,0.16309,0.1619,0.14977,0.091197,0.10725,0.11054,0.11465,0.10989,0.10548,0.11368
180,0.09483,0.10812,0.10653,0.11018,0.10708,0.10747,0.10928,0.11091,0.10878,0.11645,0.11038,0.10888,0.097045,0.11255,0.10947,0.1076,0.10929,0.10999,0.10864,0.1059,0.10976,0.11136,0.11285,0.11112,0.09483,0.11125,0.10933,0.10618,0.10873,0.10945,0.10469,0.11308,0.10999,0.11323,0.11144,0.1097,0.097476,0.1165,0.10842,0.1058,0.10824,0.10983,0.10923,0.11008,0.10818,0.11114,0.11155,0.10965,0.095276,0.19758,0.16806,0.17805,0.1646,0.099,0.11732,0.11325,0.11344,0.10601,0.11203,0.10644,0.094185,0.19121,0.17468,0.1824,0.16736,0.096457,0.11233,0.11208,0.10793,0.11114,0.10797,0.11194,0.093186,0.19428,0.18415,0.18744,0.16672,0.093868,0.10914,0.11072,0.11305,0.11234,0.10833,0.10774,0.088372,0.20402,0.18309,0.18787,0.16925,0.09124,0.10722,0.11057,0.1146,0.10991,0.10543,0.11365
